method,proportion,avg length
Data splitting,0.7,35.17851725794443
Data splitting,0.7,33.86269597768194
Data splitting,0.7,35.89860998460319
Data splitting,0.7,46.06868044766747
Data splitting,0.7,46.53904937593165
Data splitting,0.7,40.98640896142988
Data splitting,0.7,29.830067361892823
Data splitting,0.7,31.16650086313234
Data splitting,0.7,19.93893269536032
Data splitting,0.7,33.13909121229098
Data splitting,0.7,30.20369517189845
Data splitting,0.7,30.003591707925967
Data splitting,0.7,51.72147185051575
Data splitting,0.7,33.10693046817164
Data splitting,0.7,48.32962065409761
Data splitting,0.7,57.332178604908165
Data splitting,0.7,29.42162952197331
Data splitting,0.7,45.35550508418855
Data splitting,0.7,61.1500783812767
Data splitting,0.7,43.287170181101956
Data splitting,0.7,30.893259962584374
Data splitting,0.7,35.3027971501585
Data splitting,0.7,46.345936061399385
Data splitting,0.7,29.185732145278145
Data splitting,0.7,29.40734870459432
Data splitting,0.7,29.97730383885248
Data splitting,0.7,14017.02317481475
Data splitting,0.7,54.07325609456076
Data splitting,0.7,41.24959873099422
Data splitting,0.7,37.62826256788028
Data splitting,0.7,28.309392055298407
Data splitting,0.7,57.336608673924566
Data splitting,0.7,49.11045844788154
Data splitting,0.7,53.18057018019704
Data splitting,0.7,31.08097366007465
Data splitting,0.7,5973.739062471769
Data splitting,0.7,1658.7298389087348
Data splitting,0.7,49.575388687196686
Data splitting,0.7,32.200901350542125
Data splitting,0.7,40.36328057510807
Data splitting,0.7,31.956449485230344
Data splitting,0.7,46.16196403895851
Data splitting,0.7,35.82264756422102
Data splitting,0.7,33.93609528844673
Data splitting,0.7,36.93297106068284
Data splitting,0.7,32.20537858241163
Data splitting,0.7,27.740691872699824
Data splitting,0.7,56.19508168557873
Data splitting,0.7,43.33681540110152
Data splitting,0.7,35.90590622536333
Data splitting,0.7,29.440762936394
Data splitting,0.7,27.155923400639598
Data splitting,0.7,39.67463125665772
Data splitting,0.7,25.378244056268308
Data splitting,0.7,51.359160858904815
Data splitting,0.7,29.982328199412997
Data splitting,0.7,35.63793448053353
Data splitting,0.7,38.820610933886734
Data splitting,0.7,34.26616969887803
Data splitting,0.7,2840.3199264084415
Data splitting,0.7,16.2774163983947
Data splitting,0.7,6667.626672152614
Data splitting,0.7,36.659532518955544
Data splitting,0.7,47.560372855729554
Data splitting,0.7,31.879533617098915
Data splitting,0.7,51.32327497443225
Data splitting,0.7,43.17335452447766
Data splitting,0.7,29.85810073965254
Data splitting,0.7,29.93462999755573
Data splitting,0.7,51.149220422001626
Data splitting,0.7,55.430409869706466
Data splitting,0.7,48.96385387732129
Data splitting,0.7,28.433067645717486
Data splitting,0.7,36.12706729243664
Data splitting,0.7,18.447621599702412
Data splitting,0.7,27.238156110324304
Data splitting,0.7,639.7877719334838
Data splitting,0.7,53.90184545897764
Data splitting,0.7,26.93209413169949
Data splitting,0.7,36.64348863160619
Data splitting,0.7,44.61615102301251
Data splitting,0.7,47.2225653317163
Data splitting,0.7,37.46449956856335
Data splitting,0.7,23.057381331649648
Data splitting,0.7,36.23209697586503
Data splitting,0.7,39.9097323394184
Data splitting,0.7,28.18415224888185
Data splitting,0.7,42.47774964729676
Data splitting,0.7,45.85751145759426
Data splitting,0.7,26.05263243514357
Data splitting,0.7,48.589013588815966
Data splitting,0.7,28.854253601062958
Data splitting,0.7,29.51961322219142
Data splitting,0.7,44.85230715399692
Data splitting,0.7,52.21321650099307
Data splitting,0.7,38.73416101483637
Data splitting,0.7,43.307586929980026
